"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","Delete project with build configuration","API","2026-07-24","passed","2026-07-24","Lifecycle","Build Configurations","",""
"","15205","test_admin_can_create_user[chromium]","UI · Chromium","2026-07-24","passed","2026-07-24","Users","Identity & Access","",""
"","114","Limited user cannot create project","API","2026-07-24","passed","2026-07-24","Permissions","Identity & Access","",""
"","293","Request with revoked token is rejected","API","2026-07-24","passed","2026-07-24","Access Tokens","Identity & Access","",""
"","8098","test_admin_can_delete_user[webkit]","UI · WebKit","2026-07-24","passed","2026-07-24","Users","Identity & Access","",""
"","42","Request without token is rejected","API","2026-07-24","passed","2026-07-24","Access Tokens","Identity & Access","",""
"","125","Updated build step is persisted in TeamCity configuration","API","2026-07-24","passed","2026-07-24","Configuration Persistence","Build Steps","",""
"","620","Project cannot be created without authorization","API","2026-07-24","passed","2026-07-24","Authorization","Projects","",""
"","724","Created project is persisted in database","API","2026-07-24","passed","2026-07-24","Lifecycle","Projects","",""
"","8078","test_admin_can_delete_user[chromium]","UI · Chromium","2026-07-24","passed","2026-07-24","Users","Identity & Access","",""
"","120","Create build configuration in subproject","API","2026-07-24","passed","2026-07-24","Scoping","Build Configurations","",""
"","12285","Manual build run reports failed script","API","2026-07-24","passed","2026-07-24","Manual Run","Build Execution","",""
"","11697","test_project_viewer_cannot_create_entities[webkit]","UI · WebKit","2026-07-24","failed","2026-07-24","Permissions","Identity & Access","",""
"","246","Build configurations with same name can be created in different projects","API","2026-07-24","passed","2026-07-24","Scoping","Build Configurations","",""
"","79","Request with invalid token is rejected","API","2026-07-24","passed","2026-07-24","Access Tokens","Identity & Access","",""
"","53","Create build configuration with different id and name","API","2026-07-24","passed","2026-07-24","Lifecycle","Build Configurations","",""
"","157","Create user token","API","2026-07-24","passed","2026-07-24","Access Tokens","Identity & Access","",""
"","40","Create build step","API","2026-07-24","passed","2026-07-24","Lifecycle","Build Steps","",""
"","12433","test_admin_can_login[chromium]","UI · Chromium","2026-07-24","passed","2026-07-24","Login","Authentication","",""
"","207","Delete build step","API","2026-07-24","passed","2026-07-24","Lifecycle","Build Steps","",""
"","8924","test_admin_can_create_project[chromium]","UI · Chromium","2026-07-24","passed","2026-07-24","Creation","Projects","",""
"","152","Created build step is persisted in TeamCity configuration","API","2026-07-24","passed","2026-07-24","Configuration Persistence","Build Steps","",""
"","6844","test_admin_cannot_create_user_with_empty_required_fields[firefox]","UI · Firefox","2026-07-24","passed","2026-07-24","Users","Identity & Access","",""
"","34","Project cannot be created with existing name in same parent","API","2026-07-24","passed","2026-07-24","Validation","Projects","",""
"","44","Create project with different id and name","API","2026-07-24","passed","2026-07-24","Lifecycle","Projects","",""
"","41","Build configuration cannot be created with existing name in same project","API","2026-07-24","passed","2026-07-24","Validation","Build Configurations","",""
"","10561","test_project_viewer_cannot_create_entities[chromium]","UI · Chromium","2026-07-24","passed","2026-07-24","Permissions","Identity & Access","",""
"","699","Delete project","API","2026-07-24","passed","2026-07-24","Lifecycle","Projects","",""
"","6559","test_admin_can_create_project[firefox]","UI · Firefox","2026-07-24","passed","2026-07-24","Creation","Projects","",""
"","828","Delete user","API","2026-07-24","passed","2026-07-24","Users","Identity & Access","",""
"","47","Project cannot be created with existing id","API","2026-07-24","passed","2026-07-24","Validation","Projects","",""
"","11662","test_project_viewer_cannot_create_entities[firefox]","UI · Firefox","2026-07-24","passed","2026-07-24","Permissions","Identity & Access","",""
"","287","Deleting user revokes its tokens","API","2026-07-24","passed","2026-07-24","Access Tokens","Identity & Access","",""
"","20109","test_admin_can_create_access_token_for_user[firefox]","UI · Firefox","2026-07-24","passed","2026-07-24","Access Tokens","Identity & Access","",""
"","23","Build step cannot be created for nonexistent build configuration","API","2026-07-24","passed","2026-07-24","Validation","Build Steps","",""
"","670","Created user is persisted in database","API","2026-07-24","passed","2026-07-24","Users","Identity & Access","",""
"","92","Deleted build step is removed from TeamCity configuration","API","2026-07-24","passed","2026-07-24","Configuration Persistence","Build Steps","",""
