"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","163","Assign role to user","API","2026-07-17","passed","2026-07-17","Permissions","Identity & Access","",""
"","670","Created build configuration is persisted in database","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Configurations","",""
"","123","Deleted user cannot authenticate","API","2026-07-17","passed","2026-07-17","Users","Identity & Access","",""
"","69","Administrator user can create build configuration","API","2026-07-17","passed","2026-07-17","Permissions","Identity & Access","",""
"","1015","Build configuration cannot be created in unknown project","API","2026-07-17","passed","2026-07-17","Validation","Build Configurations","",""
"","112","Administrator user can create project","API","2026-07-17","passed","2026-07-17","Permissions","Identity & Access","",""
"","57","Build configuration cannot be created with existing id","API","2026-07-17","passed","2026-07-17","Validation","Build Configurations","",""
"","185","Request with valid token is authorized","API","2026-07-17","passed","2026-07-17","Access Tokens","Identity & Access","",""
"","75","Created build step is persisted in TeamCity configuration","API","2026-07-17","passed","2026-07-17","Configuration Persistence","Build Steps","",""
"","145","Create build configuration in subproject","API","2026-07-17","passed","2026-07-17","Scoping","Build Configurations","",""
"","663","Created project is persisted in database","API","2026-07-17","passed","2026-07-17","Lifecycle","Projects","",""
"","328","Delete build step","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Steps","",""
"","203","Build configurations with same name can be created in different projects","API","2026-07-17","passed","2026-07-17","Scoping","Build Configurations","",""
"","121","Create project","API","2026-07-17","passed","2026-07-17","Lifecycle","Projects","",""
"","384","Request with invalid token is rejected","API","2026-07-17","passed","2026-07-17","Access Tokens","Identity & Access","",""
"","129","Limited user cannot create project","API","2026-07-17","passed","2026-07-17","Permissions","Identity & Access","",""
"","84","Updated build step is persisted in TeamCity configuration","API","2026-07-17","passed","2026-07-17","Configuration Persistence","Build Steps","",""
"","12086","Manual build run finishes successfully","API","2026-07-17","passed","2026-07-17","Manual Run","Build Execution","",""
"","59","Create subproject","API","2026-07-17","passed","2026-07-17","Hierarchy","Projects","",""
"","686","Delete project","API","2026-07-17","passed","2026-07-17","Lifecycle","Projects","",""
"","43","Project cannot be created with existing name in same parent","API","2026-07-17","passed","2026-07-17","Validation","Projects","",""
"","61","Build configuration cannot be created without authorization","API","2026-07-17","passed","2026-07-17","Authorization","Build Configurations","",""
"","339","Create user token","API","2026-07-17","passed","2026-07-17","Access Tokens","Identity & Access","",""
"","77","Create build step","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Steps","",""
"","64","User cannot be created with existing username","API","2026-07-17","passed","2026-07-17","Users","Identity & Access","",""
"","90","Deleted build step is removed from TeamCity configuration","API","2026-07-17","passed","2026-07-17","Configuration Persistence","Build Steps","",""
"","145","Create user","API","2026-07-17","passed","2026-07-17","Users","Identity & Access","",""
"","344","Deleting user revokes its tokens","API","2026-07-17","passed","2026-07-17","Access Tokens","Identity & Access","",""
"","683","Created user is persisted in database","API","2026-07-17","passed","2026-07-17","Users","Identity & Access","",""
"","70","Update build step","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Steps","",""
"","53","Build configuration cannot be created with existing name in same project","API","2026-07-17","passed","2026-07-17","Validation","Build Configurations","",""
"","128","Limited user cannot create build configuration","API","2026-07-17","passed","2026-07-17","Permissions","Identity & Access","",""
"","80","Create multiple build steps","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Steps","",""
"","639","User cannot be created without authorization","API","2026-07-17","passed","2026-07-17","Users","Identity & Access","",""
"","1265","Delete build configuration","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Configurations","",""
"","452","Request with revoked token is rejected","API","2026-07-17","passed","2026-07-17","Access Tokens","Identity & Access","",""
"","20","Build step cannot be created for nonexistent build configuration","API","2026-07-17","passed","2026-07-17","Validation","Build Steps","",""
"","686","Delete user","API","2026-07-17","passed","2026-07-17","Users","Identity & Access","",""
"","12281","Manual build run reports failed script","API","2026-07-17","passed","2026-07-17","Manual Run","Build Execution","",""
"","11325","Manual build run receives a runtime parameter","API","2026-07-17","passed","2026-07-17","Runtime Parameters","Build Execution","",""
"","43","Create project with different id and name","API","2026-07-17","passed","2026-07-17","Lifecycle","Projects","",""
"","658","Project cannot be created without authorization","API","2026-07-17","passed","2026-07-17","Authorization","Projects","",""
"","38","Create build configuration with different id and name","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Configurations","",""
"","21","Project cannot be created with unknown parent","API","2026-07-17","passed","2026-07-17","Validation","Projects","",""
"","171","Request without token is rejected","API","2026-07-17","passed","2026-07-17","Access Tokens","Identity & Access","",""
"","104","Delete project with build configuration","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Configurations","",""
"","136","Projects with same name can be created in different parents","API","2026-07-17","passed","2026-07-17","Hierarchy","Projects","",""
"","390","Create build configuration","API","2026-07-17","passed","2026-07-17","Lifecycle","Build Configurations","",""
"","13467","Running build can be cancelled","API","2026-07-17","passed","2026-07-17","Cancellation","Build Execution","",""
"","40","Project cannot be created with existing id","API","2026-07-17","passed","2026-07-17","Validation","Projects","",""
