"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","Create multiple build steps","API","2026-08-05","passed","2026-08-05","Lifecycle","Build Steps","",""
"","211","Create user token","API","2026-08-05","passed","2026-08-05","Access Tokens","Identity & Access","",""
"","102","Limited user cannot create build configuration","API","2026-08-05","passed","2026-08-05","Permissions","Identity & Access","",""
"","8448","test_admin_can_create_project[webkit]","UI · WebKit","2026-08-05","passed","2026-08-05","Creation","Projects","",""
"","167","Request with valid token is authorized","API","2026-08-05","passed","2026-08-05","Access Tokens","Identity & Access","",""
"","101","Create subproject","API","2026-08-05","passed","2026-08-05","Hierarchy","Projects","",""
"","61","Administrator user can create build configuration","API","2026-08-05","passed","2026-08-05","Permissions","Identity & Access","",""
"","72","User cannot be created with existing username","API","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","11232","Manual build run reports failed script","API","2026-08-05","passed","2026-08-05","Manual Run","Build Execution","",""
"","212","Projects with same name can be created in different parents","API","2026-08-05","passed","2026-08-05","Hierarchy","Projects","",""
"","240","Limited user cannot create project","API","2026-08-05","passed","2026-08-05","Permissions","Identity & Access","",""
"","12187","test_admin_can_create_access_token_for_user[chromium]","UI · Chromium","2026-08-05","passed","2026-08-05","Access Tokens","Identity & Access","",""
"","57","Create build step","API","2026-08-05","passed","2026-08-05","Lifecycle","Build Steps","",""
"","12","Build step cannot be created for nonexistent build configuration","API","2026-08-05","passed","2026-08-05","Validation","Build Steps","",""
"","114","Updated build step is persisted in TeamCity configuration","API","2026-08-05","passed","2026-08-05","Configuration Persistence","Build Steps","",""
"","7478","test_admin_can_delete_user[webkit]","UI · WebKit","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","4859","test_admin_cannot_create_user_with_empty_required_fields[chromium]","UI · Chromium","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","77","Update build step","API","2026-08-05","passed","2026-08-05","Lifecycle","Build Steps","",""
"","47","Project cannot be created with existing name in same parent","API","2026-08-05","passed","2026-08-05","Validation","Projects","",""
"","156","Administrator user can create project","API","2026-08-05","passed","2026-08-05","Permissions","Identity & Access","",""
"","30150","Create Command Line build step","UI · WebKit","2026-08-05","passed","2026-08-05","Creation","Build Steps","",""
"","99","Request with invalid token is rejected","API","2026-08-05","passed","2026-08-05","Access Tokens","Identity & Access","",""
"","79","Build configuration cannot be created with existing id","API","2026-08-05","passed","2026-08-05","Validation","Build Configurations","",""
"","84","Created build step is persisted in TeamCity configuration","API","2026-08-05","passed","2026-08-05","Configuration Persistence","Build Steps","",""
"","122","Deleted user cannot authenticate","API","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","330","Request with revoked token is rejected","API","2026-08-05","passed","2026-08-05","Access Tokens","Identity & Access","",""
"","686","Create build configuration with different id and name","API","2026-08-05","passed","2026-08-05","Lifecycle","Build Configurations","",""
"","107","Delete user","API","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","428","Delete project","API","2026-08-05","passed","2026-08-05","Lifecycle","Projects","",""
"","45","User cannot be created without authorization","API","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","266","Build configurations with same name can be created in different projects","API","2026-08-05","passed","2026-08-05","Scoping","Build Configurations","",""
"","22101","Create Command Line build step","UI · Chromium","2026-08-05","passed","2026-08-05","Creation","Build Steps","",""
"","151","Deleted build step is removed from TeamCity configuration","API","2026-08-05","passed","2026-08-05","Configuration Persistence","Build Steps","",""
"","7824","test_project_viewer_cannot_create_entities[firefox]","UI · Firefox","2026-08-05","passed","2026-08-05","Permissions","Identity & Access","",""
"","12520","test_admin_can_create_user[chromium]","UI · Chromium","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","49","Build configuration cannot be created without authorization","API","2026-08-05","passed","2026-08-05","Authorization","Build Configurations","",""
"","4806","test_admin_can_delete_user[chromium]","UI · Chromium","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","12132","test_admin_can_delete_user[firefox]","UI · Firefox","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","11731","test_admin_can_login[chromium]","UI · Chromium","2026-08-05","passed","2026-08-05","Login","Authentication","",""
"","12764","test_admin_can_create_user[firefox]","UI · Firefox","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","8493","test_admin_can_create_project[chromium]","UI · Chromium","2026-08-05","passed","2026-08-05","Creation","Projects","",""
"","13068","test_admin_can_create_user[webkit]","UI · WebKit","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","31","Project cannot be created without authorization","API","2026-08-05","passed","2026-08-05","Authorization","Projects","",""
"","9383","test_admin_cannot_create_user_with_empty_required_fields[firefox]","UI · Firefox","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","66","Created project is persisted in database","API","2026-08-05","passed","2026-08-05","Lifecycle","Projects","",""
"","11204","Manual build run finishes successfully","API","2026-08-05","passed","2026-08-05","Manual Run","Build Execution","",""
"","50","Created user is persisted in database","API","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","7639","test_admin_can_create_project[firefox]","UI · Firefox","2026-08-05","passed","2026-08-05","Creation","Projects","",""
"","15374","test_admin_can_create_access_token_for_user[firefox]","UI · Firefox","2026-08-05","passed","2026-08-05","Access Tokens","Identity & Access","",""
"","5809","test_project_viewer_cannot_create_entities[chromium]","UI · Chromium","2026-08-05","passed","2026-08-05","Permissions","Identity & Access","",""
"","7476","test_admin_cannot_create_user_with_empty_required_fields[webkit]","UI · WebKit","2026-08-05","passed","2026-08-05","Users","Identity & Access","",""
"","26022","Create Command Line build step","UI · Firefox","2026-08-05","passed","2026-08-05","Creation","Build Steps","",""
"","44","Create project with different id and name","API","2026-08-05","passed","2026-08-05","Lifecycle","Projects","",""
"","3431","test_user_cannot_login_with_invalid_credentials[webkit]","UI · WebKit","2026-08-05","passed","2026-08-05","Login","Authentication","",""
"","406","Create build configuration","API","2026-08-05","passed","2026-08-05","Lifecycle","Build Configurations","",""
"","481","Deleting user revokes its tokens","API","2026-08-05","passed","2026-08-05","Access Tokens","Identity & Access","",""
"","2562","test_user_cannot_login_with_invalid_credentials[firefox]","UI · Firefox","2026-08-05","passed","2026-08-05","Login","Authentication","",""
"","27","Project cannot be created with unknown parent","API","2026-08-05","passed","2026-08-05","Validation","Projects","",""
"","49","Project cannot be created with existing id","API","2026-08-05","passed","2026-08-05","Validation","Projects","",""
"","64","Build configuration cannot be created with existing name in same project","API","2026-08-05","passed","2026-08-05","Validation","Build Configurations","",""
