"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Create build configuration with different id and name","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Configurations","",""
"","66","Update build step","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Steps","",""
"","50","Build configuration cannot be created in unknown project","API","2026-09-10","passed","2026-09-10","Validation","Build Configurations","",""
"","3021","test_user_cannot_login_with_invalid_credentials[firefox]","UI · Firefox","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","76","Create subproject","API","2026-09-10","passed","2026-09-10","Hierarchy","Projects","",""
"","1071","Create user","API","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","96","Delete build configuration","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Configurations","",""
"","150","Create build configuration in subproject","API","2026-09-10","passed","2026-09-10","Scoping","Build Configurations","",""
"","212","Projects with same name can be created in different parents","API","2026-09-10","passed","2026-09-10","Hierarchy","Projects","",""
"","13","Project cannot be created with unknown parent","API","2026-09-10","passed","2026-09-10","Validation","Projects","",""
"","6806","test_project_viewer_cannot_create_entities[firefox]","UI · Firefox","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","11226","Manual build run finishes successfully","API","2026-09-10","passed","2026-09-10","Manual Run","Build Execution","",""
"","68","Created build configuration is persisted in database","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Configurations","",""
"","3632","test_user_cannot_login_with_invalid_credentials[webkit]","UI · WebKit","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","52","Created user is persisted in database","API","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","7265","test_admin_can_create_project[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Creation","Projects","",""
"","276","Deleting user revokes its tokens","API","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","327","Delete build step","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Steps","",""
"","11626","test_admin_can_create_access_token_for_user[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","5563","test_admin_cannot_create_user_with_empty_required_fields[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","15979","test_admin_can_create_user[webkit]","UI · WebKit","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","49","Project cannot be created with existing name in same parent","API","2026-09-10","passed","2026-09-10","Validation","Projects","",""
"","69","Delete user","API","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","77","Created build step is persisted in TeamCity configuration","API","2026-09-10","passed","2026-09-10","Configuration Persistence","Build Steps","",""
"","56","Build configuration cannot be created without authorization","API","2026-09-10","passed","2026-09-10","Authorization","Build Configurations","",""
"","8881","test_project_viewer_cannot_create_entities[webkit]","UI · WebKit","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","258","Request with revoked token is rejected","API","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","212","Request with valid token is authorized","API","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","23","Build step cannot be created for nonexistent build configuration","API","2026-09-10","passed","2026-09-10","Validation","Build Steps","",""
"","105","Deleted user cannot authenticate","API","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","8324","test_admin_can_create_project[webkit]","UI · WebKit","2026-09-10","passed","2026-09-10","Creation","Projects","",""
"","559","Create build configuration","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Configurations","",""
"","117","Delete project with build configuration","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Configurations","",""
"","13126","test_admin_can_create_user[firefox]","UI · Firefox","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","117","Updated build step is persisted in TeamCity configuration","API","2026-09-10","passed","2026-09-10","Configuration Persistence","Build Steps","",""
"","57","Project cannot be created with existing id","API","2026-09-10","passed","2026-09-10","Validation","Projects","",""
"","128","Deleted build step is removed from TeamCity configuration","API","2026-09-10","passed","2026-09-10","Configuration Persistence","Build Steps","",""
"","11219","Manual build run reports failed script","API","2026-09-10","passed","2026-09-10","Manual Run","Build Execution","",""
"","218","Build configurations with same name can be created in different projects","API","2026-09-10","passed","2026-09-10","Scoping","Build Configurations","",""
"","49","Created project is persisted in database","API","2026-09-10","passed","2026-09-10","Lifecycle","Projects","",""
"","195","Assign role to user","API","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","25190","Create Command Line build step","UI · Firefox","2026-09-10","passed","2026-09-10","Creation","Build Steps","",""
"","13398","test_admin_can_create_access_token_for_user[firefox]","UI · Firefox","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","530","Administrator user can create project","API","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","91","Delete project","API","2026-09-10","passed","2026-09-10","Lifecycle","Projects","",""
"","7720","test_admin_can_delete_user[webkit]","UI · WebKit","2026-09-10","failed","2026-09-10","Users","Identity & Access","",""
"","37","Create project with different id and name","API","2026-09-10","passed","2026-09-10","Lifecycle","Projects","",""
"","29570","Create Command Line build step","UI · WebKit","2026-09-10","passed","2026-09-10","Creation","Build Steps","",""
"","62","Request with invalid token is rejected","API","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","127","Limited user cannot create project","API","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","8604","test_admin_can_create_project[firefox]","UI · Firefox","2026-09-10","passed","2026-09-10","Creation","Projects","",""
"","68","Create multiple build steps","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Steps","",""
"","84","Build configuration cannot be created with existing id","API","2026-09-10","passed","2026-09-10","Validation","Build Configurations","",""
"","28471","Running build can be cancelled","API","2026-09-10","passed","2026-09-10","Cancellation","Build Execution","",""
"","11794","test_admin_can_create_user[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","9522","test_admin_can_login[webkit]","UI · WebKit","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","26","User cannot be created without authorization","API","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","34","Project cannot be created without authorization","API","2026-09-10","passed","2026-09-10","Authorization","Projects","",""
"","61","Create build step","API","2026-09-10","passed","2026-09-10","Lifecycle","Build Steps","",""
"","4335","test_admin_cannot_create_user_with_empty_required_fields[firefox]","UI · Firefox","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","15937","test_admin_can_create_access_token_for_user[webkit]","UI · WebKit","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","12331","test_admin_can_login[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","13765","test_admin_can_login[firefox]","UI · Firefox","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","102","Limited user cannot create build configuration","API","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","88","Create project","API","2026-09-10","passed","2026-09-10","Lifecycle","Projects","",""
"","84","Request without token is rejected","API","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","50","User cannot be created with existing username","API","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","7664","test_admin_can_delete_user[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","14457","Manual build run receives a runtime parameter","API","2026-09-10","passed","2026-09-10","Runtime Parameters","Build Execution","",""
"","21967","Create Command Line build step","UI · Chromium","2026-09-10","passed","2026-09-10","Creation","Build Steps","",""
"","3385","test_user_cannot_login_with_invalid_credentials[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","385","Create user token","API","2026-09-10","passed","2026-09-10","Access Tokens","Identity & Access","",""
"","5283","test_project_viewer_cannot_create_entities[chromium]","UI · Chromium","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","8288","test_admin_cannot_create_user_with_empty_required_fields[webkit]","UI · WebKit","2026-09-10","passed","2026-09-10","Users","Identity & Access","",""
"","4692","test_admin_can_delete_user[firefox]","UI · Firefox","2026-09-10","failed","2026-09-10","Users","Identity & Access","",""
"","75","Administrator user can create build configuration","API","2026-09-10","passed","2026-09-10","Permissions","Identity & Access","",""
"","116","Build configuration cannot be created with existing name in same project","API","2026-09-10","passed","2026-09-10","Validation","Build Configurations","",""
