"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Request without token is rejected","tests.api.user_test","2026-07-17","passed","2026-07-17","","token_test","",""
"","626","Delete project","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","637","Created user is persisted in database","tests.api.user_test","2026-07-17","passed","2026-07-17","","user_test","",""
"","54","Assign role to user","tests.api.user_test","2026-07-17","passed","2026-07-17","","permissions_test","",""
"","650","Delete user","tests.api.user_test","2026-07-17","passed","2026-07-17","","user_test","",""
"","102","Updated build step is persisted in TeamCity configuration","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","89","Limited user cannot create project","tests.api.user_test","2026-07-17","passed","2026-07-17","","permissions_test","",""
"","69","Deleted build step is removed from TeamCity configuration","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","64699","Running build can be cancelled","tests.api","2026-07-17","passed","2026-07-17","","build_run_test","",""
"","131","Create user","tests.api.user_test","2026-07-17","passed","2026-07-17","","user_test","",""
"","55","User cannot be created with existing username","tests.api.user_test","2026-07-17","passed","2026-07-17","","user_test","",""
"","8","test_create_build_step_for_nonexistent_build_configuration","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","15","Build configuration cannot be created without authorization","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","613","Created project is persisted in database","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","28","test_create_multiple_build_steps","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","102","Deleted user cannot authenticate","tests.api.user_test","2026-07-17","passed","2026-07-17","","user_test","",""
"","639","Create build configuration","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","642","Build configuration cannot be created in unknown project","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","47","Administrator user can create build configuration","tests.api.user_test","2026-07-17","passed","2026-07-17","","permissions_test","",""
"","82","Delete project with build configuration","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","613","User cannot be created without authorization","tests.api.user_test","2026-07-17","passed","2026-07-17","","user_test","",""
"","75","Created build step is persisted in TeamCity configuration","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","46","Create subproject","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","293","Create user token","tests.api.user_test","2026-07-17","passed","2026-07-17","","token_test","",""
"","37","Request with invalid token is rejected","tests.api.user_test","2026-07-17","passed","2026-07-17","","token_test","",""
"","12","Project cannot be created with unknown parent","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","12395","Manual build run receives a runtime parameter","tests.api","2026-07-17","passed","2026-07-17","","build_run_test","",""
"","11324","Manual build run reports failed script","tests.api","2026-07-17","passed","2026-07-17","","build_run_test","",""
"","30","test_update_build_step","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","73","TeamCity web endpoint is opened","tests.smoke","2026-07-17","passed","2026-07-17","","test_teamcity_opened","",""
"","105","test_delete_build_step","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","119","Create build configuration in subproject","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","42","Create build configuration with different id and name","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","33","Project cannot be created with existing name in same parent","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","87","Limited user cannot create build configuration","tests.api.user_test","2026-07-17","passed","2026-07-17","","permissions_test","",""
"","68","Create project","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","628","Project cannot be created without authorization","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","143","test_create_build_step","tests.api","2026-07-17","passed","2026-07-17","","build_step_test","",""
"","1","test_authorizes_and_waits_for_expanded_agent_status","tests.scripts","2026-07-17","passed","2026-07-17","","test_teamcity_agent_preflight","",""
"","44","Build configuration cannot be created with existing name in same project","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","654","Created build configuration is persisted in database","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","691","Delete build configuration","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","125","Request with revoked token is rejected","tests.api.user_test","2026-07-17","passed","2026-07-17","","token_test","",""
"","30","Project cannot be created with existing id","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","21","Create project with different id and name","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","152","Build configurations with same name can be created in different projects","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
"","101","Request with valid token is authorized","tests.api.user_test","2026-07-17","passed","2026-07-17","","token_test","",""
"","13885","Manual build run finishes successfully","tests.api","2026-07-17","passed","2026-07-17","","build_run_test","",""
"","108","Deleting user revokes its tokens","tests.api.user_test","2026-07-17","passed","2026-07-17","","token_test","",""
"","51","Administrator user can create project","tests.api.user_test","2026-07-17","passed","2026-07-17","","permissions_test","",""
"","80","Projects with same name can be created in different parents","tests.api","2026-07-17","passed","2026-07-17","","project_test","",""
"","56","Build configuration cannot be created with existing id","tests.api","2026-07-17","passed","2026-07-17","","build_configuration_test","",""
