"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11172","test_project_viewer_cannot_create_entities[webkit]","UI · WebKit","2026-08-04","passed","2026-08-04","Permissions","Identity & Access","",""
"","8113","test_admin_can_delete_user[webkit]","UI · WebKit","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","11611","test_admin_can_login[webkit]","UI · WebKit","2026-08-04","passed","2026-08-04","Login","Authentication","",""
"","11199","Manual build run reports failed script","API","2026-08-04","passed","2026-08-04","Manual Run","Build Execution","",""
"","12756","test_admin_can_login[firefox]","UI · Firefox","2026-08-04","passed","2026-08-04","Login","Authentication","",""
"","64","Create project","API","2026-08-04","passed","2026-08-04","Lifecycle","Projects","",""
"","185","Deleted build step is removed from TeamCity configuration","API","2026-08-04","passed","2026-08-04","Configuration Persistence","Build Steps","",""
"","11246","Manual build run finishes successfully","API","2026-08-04","passed","2026-08-04","Manual Run","Build Execution","",""
"","69","Request with invalid token is rejected","API","2026-08-04","passed","2026-08-04","Access Tokens","Identity & Access","",""
"","6600","test_admin_can_delete_user[chromium]","UI · Chromium","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","67","Project cannot be created with existing name in same parent","API","2026-08-04","passed","2026-08-04","Validation","Projects","",""
"","25","Build configuration cannot be created without authorization","API","2026-08-04","passed","2026-08-04","Authorization","Build Configurations","",""
"","20","Project cannot be created with unknown parent","API","2026-08-04","passed","2026-08-04","Validation","Projects","",""
"","81","Build configuration cannot be created with existing name in same project","API","2026-08-04","passed","2026-08-04","Validation","Build Configurations","",""
"","87","Create subproject","API","2026-08-04","passed","2026-08-04","Hierarchy","Projects","",""
"","11657","test_admin_can_create_project[firefox]","UI · Firefox","2026-08-04","passed","2026-08-04","Creation","Projects","",""
"","12559","test_admin_can_login[chromium]","UI · Chromium","2026-08-04","passed","2026-08-04","Login","Authentication","",""
"","15886","test_admin_can_create_user[webkit]","UI · WebKit","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","55","Create build step","API","2026-08-04","passed","2026-08-04","Lifecycle","Build Steps","",""
"","109","Limited user cannot create build configuration","API","2026-08-04","passed","2026-08-04","Permissions","Identity & Access","",""
"","61","Create user","API","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","2550","test_user_cannot_login_with_invalid_credentials[webkit]","UI · WebKit","2026-08-04","passed","2026-08-04","Login","Authentication","",""
"","12512","Manual build run receives a runtime parameter","API","2026-08-04","passed","2026-08-04","Runtime Parameters","Build Execution","",""
"","12267","test_admin_can_create_access_token_for_user[chromium]","UI · Chromium","2026-08-04","passed","2026-08-04","Access Tokens","Identity & Access","",""
"","16485","test_admin_can_create_user[firefox]","UI · Firefox","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","70","Project cannot be created with existing id","API","2026-08-04","passed","2026-08-04","Validation","Projects","",""
"","36","Build configuration cannot be created in unknown project","API","2026-08-04","passed","2026-08-04","Validation","Build Configurations","",""
"","33","Project cannot be created without authorization","API","2026-08-04","passed","2026-08-04","Authorization","Projects","",""
"","100","Delete user","API","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","12341","test_admin_can_create_access_token_for_user[firefox]","UI · Firefox","2026-08-04","passed","2026-08-04","Access Tokens","Identity & Access","",""
"","209","Delete build step","API","2026-08-04","passed","2026-08-04","Lifecycle","Build Steps","",""
"","74","Created build configuration is persisted in database","API","2026-08-04","passed","2026-08-04","Lifecycle","Build Configurations","",""
"","78","Updated build step is persisted in TeamCity configuration","API","2026-08-04","passed","2026-08-04","Configuration Persistence","Build Steps","",""
"","6603","test_project_viewer_cannot_create_entities[chromium]","UI · Chromium","2026-08-04","passed","2026-08-04","Permissions","Identity & Access","",""
"","133","Limited user cannot create project","API","2026-08-04","passed","2026-08-04","Permissions","Identity & Access","",""
"","28665","Create Command Line build step","UI · WebKit","2026-08-04","passed","2026-08-04","Creation","Build Steps","",""
"","8557","test_admin_cannot_create_user_with_empty_required_fields[webkit]","UI · WebKit","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","219","Create user token","API","2026-08-04","passed","2026-08-04","Access Tokens","Identity & Access","",""
"","10524","test_admin_can_delete_user[firefox]","UI · Firefox","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","51","User cannot be created with existing username","API","2026-08-04","passed","2026-08-04","Users","Identity & Access","",""
"","6470","test_admin_can_create_project[webkit]","UI · WebKit","2026-08-04","passed","2026-08-04","Creation","Projects","",""
