"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TeamCity REST API","1","Build Result","0","0","Check build execution result","0"
"0","TeamCity REST API","1","Build Queue","0","0","Run build","0"
"0","TeamCity REST API","1","Cleanup","0","0","Cleanup test data","0"
"0","TeamCity REST API","1","DB Compatibility","0","0","Database compatibility lifecycle","0"
"0","TeamCity REST API","1","Build Result","0","0","Failed build result","0"
"0","TeamCity REST API","1","Authorization","0","0","Negative authorization","0"
"0","TeamCity REST API","1","Build Configuration","0","0","Create build configuration","0"
"0","TeamCity REST API","1","Data Isolation","0","0","Data isolation and rerun","0"
"0","TeamCity REST API","1","Build Metadata","0","0","Check build metadata","0"
"0","TeamCity REST API","1","Permissions","0","0","Limited user permissions","0"
"0","TeamCity REST API","1","VCS Roots","0","0","Create VCS root","0"
"0","TeamCity","0","Readiness","1","0","Web endpoint","0"
"0","TeamCity REST API","1","Projects","0","0","Create project","0"
"0","TeamCity REST API","1","Build Steps","0","0","Add build step","0"
