"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","Created project is persisted in database","API","2026-08-31","passed","2026-08-31","Lifecycle","Projects","",""
"","6103","test_admin_can_delete_user[chromium]","UI · Chromium","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","62","Create user","API","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","51","Create build configuration with different id and name","API","2026-08-31","passed","2026-08-31","Lifecycle","Build Configurations","",""
"","8696","test_admin_can_create_project[firefox]","UI · Firefox","2026-08-31","passed","2026-08-31","Creation","Projects","",""
"","42","User cannot be created with existing username","API","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","10521","test_admin_can_login[firefox]","UI · Firefox","2026-08-31","passed","2026-08-31","Login","Authentication","",""
"","28026","test_admin_can_create_access_token_for_user[webkit]","UI · WebKit","2026-08-31","failed","2026-08-31","Access Tokens","Identity & Access","",""
"","2749","test_user_cannot_login_with_invalid_credentials[chromium]","UI · Chromium","2026-08-31","passed","2026-08-31","Login","Authentication","",""
"","4298","test_admin_cannot_create_user_with_empty_required_fields[chromium]","UI · Chromium","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","46","Create build step","API","2026-08-31","passed","2026-08-31","Lifecycle","Build Steps","",""
"","25992","Create Command Line build step","UI · Chromium","2026-08-31","passed","2026-08-31","Creation","Build Steps","",""
"","83","Deleted build step is removed from TeamCity configuration","API","2026-08-31","passed","2026-08-31","Configuration Persistence","Build Steps","",""
"","171","Create user token","API","2026-08-31","passed","2026-08-31","Access Tokens","Identity & Access","",""
"","29696","Create Command Line build step","UI · WebKit","2026-08-31","passed","2026-08-31","Creation","Build Steps","",""
"","53","Build configuration cannot be created with existing name in same project","API","2026-08-31","passed","2026-08-31","Validation","Build Configurations","",""
"","68","Delete user","API","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","47","Project cannot be created with existing name in same parent","API","2026-08-31","passed","2026-08-31","Validation","Projects","",""
"","12142","test_admin_can_login[webkit]","UI · WebKit","2026-08-31","passed","2026-08-31","Login","Authentication","",""
"","82","Create project","API","2026-08-31","passed","2026-08-31","Lifecycle","Projects","",""
"","74","Delete build configuration","API","2026-08-31","passed","2026-08-31","Lifecycle","Build Configurations","",""
"","57","Created build step is persisted in TeamCity configuration","API","2026-08-31","passed","2026-08-31","Configuration Persistence","Build Steps","",""
"","73","Delete project","API","2026-08-31","passed","2026-08-31","Lifecycle","Projects","",""
"","4296","test_project_viewer_cannot_create_entities[firefox]","UI · Firefox","2026-08-31","passed","2026-08-31","Permissions","Identity & Access","",""
"","43","Build configuration cannot be created with existing id","API","2026-08-31","passed","2026-08-31","Validation","Build Configurations","",""
"","79","Request without token is rejected","API","2026-08-31","passed","2026-08-31","Access Tokens","Identity & Access","",""
"","11866","test_admin_can_login[chromium]","UI · Chromium","2026-08-31","passed","2026-08-31","Login","Authentication","",""
"","61","Create subproject","API","2026-08-31","passed","2026-08-31","Hierarchy","Projects","",""
"","9474","test_admin_can_create_user[firefox]","UI · Firefox","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","16","Build step cannot be created for nonexistent build configuration","API","2026-08-31","passed","2026-08-31","Validation","Build Steps","",""
"","2630","test_admin_can_delete_user[firefox]","UI · Firefox","2026-08-31","failed","2026-08-31","Users","Identity & Access","",""
"","63","Updated build step is persisted in TeamCity configuration","API","2026-08-31","passed","2026-08-31","Configuration Persistence","Build Steps","",""
"","10176","test_project_viewer_cannot_create_entities[webkit]","UI · WebKit","2026-08-31","passed","2026-08-31","Permissions","Identity & Access","",""
"","30","User cannot be created without authorization","API","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","9207","test_admin_can_create_project[webkit]","UI · WebKit","2026-08-31","passed","2026-08-31","Creation","Projects","",""
"","123","Request with valid token is authorized","API","2026-08-31","passed","2026-08-31","Access Tokens","Identity & Access","",""
"","87","Created user is persisted in database","API","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","145","Limited user cannot create build configuration","API","2026-08-31","passed","2026-08-31","Permissions","Identity & Access","",""
"","5346","test_project_viewer_cannot_create_entities[chromium]","UI · Chromium","2026-08-31","passed","2026-08-31","Permissions","Identity & Access","",""
"","30380","Running build can be cancelled","API","2026-08-31","passed","2026-08-31","Cancellation","Build Execution","",""
"","27","Build configuration cannot be created in unknown project","API","2026-08-31","passed","2026-08-31","Validation","Build Configurations","",""
"","18068","Manual build run receives a runtime parameter","API","2026-08-31","passed","2026-08-31","Runtime Parameters","Build Execution","",""
"","16383","test_admin_can_create_user[webkit]","UI · WebKit","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","51","Created build configuration is persisted in database","API","2026-08-31","passed","2026-08-31","Lifecycle","Build Configurations","",""
"","11201","test_admin_can_create_access_token_for_user[chromium]","UI · Chromium","2026-08-31","passed","2026-08-31","Access Tokens","Identity & Access","",""
"","4057","test_admin_cannot_create_user_with_empty_required_fields[webkit]","UI · WebKit","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","141","Projects with same name can be created in different parents","API","2026-08-31","passed","2026-08-31","Hierarchy","Projects","",""
"","90","Deleted user cannot authenticate","API","2026-08-31","passed","2026-08-31","Users","Identity & Access","",""
"","11195","Manual build run finishes successfully","API","2026-08-31","passed","2026-08-31","Manual Run","Build Execution","",""
"","12","Project cannot be created with unknown parent","API","2026-08-31","passed","2026-08-31","Validation","Projects","",""
